site,url,element,type,location,tags,trigger,start_state,end_state,scroll_relationship,repeat_reverse,duration_ms,easing,timing_basis,rendering_technology,brand_fit,adaptation,effort,mobile,reduced_motion,evidence_actions
Ali Two Times,https://alitwotimes.com/,header-page-wipe,animation,Work / Bio header navigation,page-transition; masked-reveal; stagger,click-navigation,Light Work page with name aligned right.,"Dark Bio page with name left and portrait right; outgoing page clipped horizontally, heading and image mask counter-move.","Route change, not a scroll-section transition.",Header transition branch supports both directions; browser tested Work to Bio only.,1500,expo.inOut,source-defined outgoing wipe only; incoming text has a separate timeline,GSAP with DOM clipping/transforms,Strong personal/creative portfolios with persistent identity across pages.,"Recreate the sequencing with client-specific composition and a compatible current animation system; preserve focus, history and scroll restoration.",high,source branch exists; not tested,not tested; client build should have immediate route changes,Work → Bio → Contact clicked and destinations inspected; public bundle inspected for transition code.
Ali Two Times,https://alitwotimes.com/,contact-page-wipe,animation,Bio / Contact navigation,page-transition; masked-reveal; stagger,click-navigation,Dark biography page.,Light Contact page; outgoing content clipped upward and incoming heading/links rise in a staggered entrance.,"Route change, not a scroll-section transition.",Forward route tested; reverse behaviour source branches only.,1500,expo.inOut,source-defined outgoing wipe only; incoming text has a separate timeline,GSAP with DOM clipping/transforms,Portfolios whose contact page should feel part of the same visual experience.,"Recreate the sequencing with client-specific composition and a compatible current animation system; preserve focus, history and scroll restoration.",high,source branch exists; not tested,not tested; client build should have immediate route changes,Work → Bio → Contact clicked and destinations inspected; public bundle inspected for transition code.
Ali Two Times,https://alitwotimes.com/,project-page-wipe,animation,Work / project / back navigation,page-transition; masked-reveal; stagger,click-navigation,Selected work listing.,"Source defines upward clipping of outgoing page, menu exit and saved listing offset on return.","Route change, not a scroll-section transition.",Project/back branches source-inspected only.,1500,expo.inOut,source-defined outgoing wipe only; incoming text has a separate timeline,GSAP with DOM clipping/transforms,Media portfolios with frequent entry into project details and return to browsing.,"Recreate the sequencing with client-specific composition and a compatible current animation system; preserve focus, history and scroll restoration.",high,source branch exists; not tested,not tested; client build should have immediate route changes,Work → Bio → Contact clicked and destinations inspected; public bundle inspected for transition code.
AQuest,https://www.aquest.it/,section-title-reveal,animation,Selected Works section,scroll-reveal; typographic-motion,scroll-entry,Section label is visible while the large heading area is initially blank/entering.,"After settling at the same section, the large black heading is fully visible above serif project titles and media.",Observed between immediate post-scroll and settled capture; scrub vs timed reveal not isolated.,Reverse not tested.,unknown,unknown,unknown,unknown,Premium service brands whose work imagery should carry the colour.,"Reveal a large heading in restrained stages, preserve whitespace and keep metadata still.",medium,not inspected,Source untested; choose an appropriate accessible fallback in the client build.,Loaded homepage; scrolled; denied cookies; scrolled to Selected Works; compared immediate and later settled screenshots.
AQuest,https://www.aquest.it/,project-editorial-composition,visual-pattern,Selected Works / Bulgari,editorial; serif-display,section-entry,Project title and metadata occupy the left column; visual work occupies the wider right column.,Settled composition keeps serif title and small labels beside a large warm-toned project visual.,Layout reference observed; animation of the media itself unverified.,Not applicable to static composition.,unknown,unknown,unknown,unknown,Luxury-facing agencies with high-quality project imagery.,Borrow the editorial proportions and type contrast; source client project media separately.,medium,not inspected,Source untested; choose an appropriate accessible fallback in the client build.,Loaded homepage; scrolled; denied cookies; scrolled to Selected Works; compared immediate and later settled screenshots.
Floema,https://floema.com/en,collage-opening,animation,homepage hero,collage; scroll-transition; product-imagery,load-and-scroll,Small product/scene image tiles surround the central brand statement on a warm neutral field.,Scrolling leaves the collage and brings a full-width urban project photograph and collection details into view.,Scroll handoff observed; exact tile depth/pointer interaction not isolated.,Scrolling up returned to the collage.,unknown,unknown,unknown,unknown,Design-led product brands with a broad catalogue and environmental context.,"Keep central text clear, vary tile scale, then give each collection room in a large photographic section.",high,not inspected,Source untested; choose an appropriate accessible fallback in the client build.,Loaded homepage; denied cookies; scrolled back to collage; scrolled down to Urban and emerging Nature image; compared settled states.
Floema,https://floema.com/en,collection-image-handoff,animation,Urban to Nature collection sections,layered-images; scroll-transition; full-bleed,scroll,"Urban city photograph with collection label, descriptive copy and catalogue card.",Outdoor landscape imagery rises beneath/overlaps the city image while the Urban information remains visible during the sampled handoff.,Layered transition visible after downward scroll; pin/scrub boundaries unmeasured.,Reverse for this handoff not tested.,unknown,unknown,unknown,unknown,"Outdoor, architecture and place-based product brands.",Coordinate the image mask and text handoff explicitly; verify all intermediate states avoid unintended overlap.,high,not inspected,Source untested; choose an appropriate accessible fallback in the client build.,Loaded homepage; denied cookies; scrolled back to collage; scrolled down to Urban and emerging Nature image; compared settled states.
Goodboy,https://goodboyagency.com/,client-logo-marquee,animation,Brands we have worked with strip,marquee; ambient-motion,idle,"Disney, Marvel and Chicago Cutlery visible near the left/middle of the strip.","Without another scroll, Chicago Cutlery, Nautica and Louis Garneau occupy later positions as logos travel left.",Time-driven movement independent of scroll at sampled position.,Continuous movement observed; wrap boundary not tested.,unknown,unknown,unknown,unknown,Service brands needing compact social proof.,Use real client logos with permission; keep a readable static list for reduced motion.,low,not inspected,Source untested; choose an appropriate accessible fallback in the client build.,Loaded homepage; scrolled to logo strip; captured twice with no intervening scroll and compared logo positions.
Lando Norris,https://landonorris.com/,full-screen-menu,animation,top-right menu control,menu-transition; staged-reveal; image-grid,click,Light portrait hero with compact top-right menu button.,A dark olive covering layer enters with a curved lower edge; image tiles and large navigation resolve into the full-screen menu.,Click-driven; entry sequence includes an intermediate frame before text finishes appearing.,"Open tested; close action produced a transitional frame, final closed state not verified.",unknown,unknown,unknown,unknown,Personality-led brands with a small number of primary destinations.,"Stage the covering layer, imagery and links; preserve keyboard focus and instant reduced-motion navigation.",high,not inspected,Source untested; choose an appropriate accessible fallback in the client build.,Loaded portrait hero; clicked menu; captured intermediate and settled menu; clicked close and captured an intermediate closing state.
Lando Norris,https://landonorris.com/,portrait-helmet-composite,visual-pattern,homepage hero,portrait; depth-effect,unknown,Portrait fills the hero; a horizontal visor/helmet band crosses the face.,"A depth-styled band and background shadow are visible, but controlling input was not isolated in this pass.",Unknown; do not label scroll-controlled or realtime 3D.,Unverified.,unknown,unknown,unknown,unknown,Athletes or personal brands with a signature physical object.,Revisit the interaction before implementing; use client-owned portraits and object assets.,high,not inspected,Source untested; choose an appropriate accessible fallback in the client build.,Loaded portrait hero; clicked menu; captured intermediate and settled menu; clicked close and captured an intermediate closing state.
